(562.5 468.75), (581.25 487.5)
(553.125 459.375), (562.5 468.75)
(543.75 468.75), (562.5 487.5)
(562.5 459.375), (571.875 468.75)
(581.25 468.75), (590.625 478.125)
(581.25 478.125), (590.625 487.5)
(562.5 487.5), (581.25 506.25)
(581.25 487.5), (590.625 496.875)
