(337.5 262.5), (375 300)
(318.75 243.75), (337.5 262.5)
(337.5 243.75), (356.25 262.5)
(300 262.5), (337.5 300)
(375 262.5), (384.375 271.875)
(375 271.875), (384.375 281.25)
(375 281.25), (384.375 290.625)
(375 290.625), (384.375 300)
(365.625 300), (375 309.375)
(375 300), (384.375 309.375)
