(375 525), (412.5 562.5)
(365.625 515.625), (375 525)
(375 450), (450 525)
(365.625 525), (375 534.375)
(365.625 534.375), (375 543.75)
(365.625 543.75), (375 553.125)
(365.625 553.125), (375 562.5)
(412.5 525), (450 562.5)
(393.75 562.5), (412.5 581.25)
(412.5 562.5), (431.25 581.25)
