(140.625 525), (150 534.375)
(131.25 515.625), (140.625 525)
(140.625 515.625), (150 525)
(131.25 525), (140.625 534.375)
(140.625 534.375), (150 543.75)
(150 525), (159.375 534.375)
(150 534.375), (159.375 543.75)
