(187.5 525), (225 562.5)
(168.75 506.25), (187.5 525)
(187.5 487.5), (225 525)
(168.75 525), (187.5 543.75)
(168.75 543.75), (187.5 562.5)
(206.25 562.5), (225 581.25)
(225 525), (262.5 562.5)
(225 562.5), (243.75 581.25)
