(215.625 9.375), (225 18.75)
(206.25 0), (215.625 9.375)
(215.625 0), (225 9.375)
(206.25 9.375), (215.625 18.75)
(206.25 18.75), (225 37.5)
(225 9.375), (234.375 18.75)
(225 18.75), (243.75 37.5)
