(450 75), (525 150)
(412.5 37.5), (450 75)
(412.5 75), (450 112.5)
(412.5 112.5), (450 150)
(450 37.5), (487.5 75)
(525 75), (562.5 112.5)
(525 112.5), (562.5 150)
(450 150), (525 225)
(525 150), (562.5 187.5)
