(9.375 487.5), (18.75 496.875)
(0 478.125), (9.375 487.5)
(9.375 478.125), (18.75 487.5)
(0 487.5), (9.375 496.875)
(9.375 496.875), (18.75 506.25)
(18.75 487.5), (37.5 506.25)
