(487.5 525), (525 562.5)
(450 487.5), (487.5 525)
(487.5 487.5), (525 525)
(450 525), (487.5 562.5)
(506.25 562.5), (525 581.25)
(525 525), (562.5 562.5)
(525 562.5), (543.75 581.25)
