(384.375 581.25), (393.75 590.625)
(375 562.5), (393.75 581.25)
(375 581.25), (384.375 590.625)
(384.375 590.625), (393.75 600)
(393.75 581.25), (403.125 590.625)
(393.75 590.625), (403.125 600)
