(384.375 225), (393.75 234.375)
(375 215.625), (384.375 225)
(384.375 215.625), (393.75 225)
(375 225), (384.375 234.375)
(384.375 234.375), (393.75 243.75)
(393.75 225), (403.125 234.375)
(393.75 234.375), (403.125 243.75)
