(112.5 281.25), (131.25 300)
(75 262.5), (112.5 300)
(112.5 262.5), (131.25 281.25)
(131.25 281.25), (140.625 290.625)
(131.25 290.625), (140.625 300)
(112.5 300), (131.25 318.75)
(131.25 300), (140.625 309.375)
