(262.5 37.5), (300 75)
(243.75 18.75), (262.5 37.5)
(262.5 18.75), (281.25 37.5)
(225 37.5), (262.5 75)
(262.5 75), (300 112.5)
(300 37.5), (337.5 75)
(300 75), (375 150)
