(525 431.25), (543.75 450)
(515.625 421.875), (525 431.25)
(506.25 431.25), (525 450)
(525 421.875), (534.375 431.25)
(543.75 431.25), (562.5 450)
(534.375 450), (543.75 459.375)
(543.75 450), (553.125 459.375)
