(412.5 37.5), (450 75)
(403.125 28.125), (412.5 37.5)
(412.5 18.75), (431.25 37.5)
(403.125 37.5), (412.5 46.875)
(403.125 46.875), (412.5 56.25)
(403.125 56.25), (412.5 65.625)
(403.125 65.625), (412.5 75)
(412.5 75), (450 112.5)
(450 37.5), (487.5 75)
(450 75), (525 150)
