(168.75 300), (187.5 318.75)
(159.375 290.625), (168.75 300)
(168.75 281.25), (187.5 300)
(159.375 300), (168.75 309.375)
(159.375 309.375), (168.75 318.75)
(168.75 318.75), (187.5 337.5)
(187.5 300), (225 337.5)
