(300 300), (309.375 309.375)
(262.5 262.5), (300 300)
(300 262.5), (337.5 300)
(290.625 300), (300 309.375)
(309.375 300), (318.75 309.375)
(300 309.375), (309.375 318.75)
(309.375 309.375), (318.75 318.75)
