(318.75 300), (328.125 309.375)
(300 262.5), (337.5 300)
(309.375 300), (318.75 309.375)
(328.125 300), (337.5 309.375)
(318.75 309.375), (328.125 318.75)
(328.125 309.375), (337.5 318.75)
