(393.75 65.625), (403.125 75)
(384.375 56.25), (393.75 65.625)
(384.375 65.625), (393.75 75)
(393.75 56.25), (403.125 65.625)
(403.125 65.625), (412.5 75)
(393.75 75), (403.125 84.375)
(403.125 75), (412.5 84.375)
