(393.75 215.625), (403.125 225)
(384.375 206.25), (393.75 215.625)
(384.375 215.625), (393.75 225)
(393.75 206.25), (403.125 215.625)
(403.125 215.625), (412.5 225)
(393.75 225), (403.125 234.375)
(403.125 225), (412.5 234.375)
