(375 121.875), (384.375 131.25)
(300 75), (375 150)
(375 112.5), (384.375 121.875)
(384.375 121.875), (393.75 131.25)
(375 131.25), (384.375 140.625)
(384.375 131.25), (393.75 140.625)
