(131.25 506.25), (140.625 515.625)
(112.5 487.5), (131.25 506.25)
(131.25 496.875), (140.625 506.25)
(112.5 506.25), (131.25 525)
(140.625 506.25), (150 515.625)
(131.25 515.625), (140.625 525)
(140.625 515.625), (150 525)
