(37.5 450), (75 487.5)
(18.75 431.25), (37.5 450)
(37.5 412.5), (75 450)
(18.75 450), (37.5 468.75)
(18.75 468.75), (37.5 487.5)
(37.5 487.5), (75 525)
(75 450), (112.5 487.5)
(75 487.5), (112.5 525)
