(356.25 318.75), (375 337.5)
(346.875 309.375), (356.25 318.75)
(356.25 309.375), (365.625 318.75)
(337.5 318.75), (356.25 337.5)
(337.5 337.5), (375 375)
(375 318.75), (393.75 337.5)
(375 337.5), (412.5 375)
