(431.25 562.5), (450 581.25)
(412.5 525), (450 562.5)
(412.5 562.5), (431.25 581.25)
(440.625 581.25), (450 590.625)
(450 562.5), (468.75 581.25)
(450 581.25), (459.375 590.625)
