(375 103.125), (384.375 112.5)
(300 75), (375 150)
(375 93.75), (384.375 103.125)
(384.375 103.125), (393.75 112.5)
(375 112.5), (384.375 121.875)
(384.375 112.5), (393.75 121.875)
