(9.375 65.625), (18.75 75)
(0 56.25), (9.375 65.625)
(9.375 56.25), (18.75 65.625)
(0 65.625), (9.375 75)
(18.75 56.25), (37.5 75)
(9.375 75), (18.75 84.375)
(18.75 75), (37.5 93.75)
