(468.75 450), (478.125 459.375)
(459.375 440.625), (468.75 450)
(468.75 431.25), (487.5 450)
(459.375 450), (468.75 459.375)
(478.125 450), (487.5 459.375)
(468.75 459.375), (478.125 468.75)
(478.125 459.375), (487.5 468.75)
