(375 150), (384.375 159.375)
(300 75), (375 150)
(375 140.625), (384.375 150)
(300 150), (375 225)
(384.375 150), (393.75 159.375)
(375 159.375), (384.375 168.75)
(384.375 159.375), (393.75 168.75)
