(487.5 431.25), (506.25 450)
(478.125 421.875), (487.5 431.25)
(468.75 431.25), (487.5 450)
(487.5 421.875), (496.875 431.25)
(506.25 431.25), (525 450)
(496.875 450), (506.25 459.375)
(506.25 450), (515.625 459.375)
