(525 337.5), (562.5 375)
(450 300), (525 375)
(525 300), (562.5 337.5)
(562.5 337.5), (581.25 356.25)
(562.5 356.25), (581.25 375)
(525 375), (562.5 412.5)
(562.5 375), (581.25 393.75)
