(506.25 18.75), (525 37.5)
(496.875 9.375), (506.25 18.75)
(506.25 9.375), (515.625 18.75)
(487.5 18.75), (506.25 37.5)
(487.5 37.5), (525 75)
(525 18.75), (543.75 37.5)
(525 37.5), (562.5 75)
