(543.75 431.25), (562.5 450)
(534.375 421.875), (543.75 431.25)
(543.75 421.875), (553.125 431.25)
(525 431.25), (543.75 450)
(562.5 431.25), (581.25 450)
(553.125 450), (562.5 459.375)
(562.5 450), (571.875 459.375)
