(150 18.75), (168.75 37.5)
(140.625 9.375), (150 18.75)
(131.25 18.75), (150 37.5)
(150 9.375), (159.375 18.75)
(168.75 18.75), (187.5 37.5)
(150 37.5), (187.5 75)
