(9.375 515.625), (18.75 525)
(0 506.25), (9.375 515.625)
(9.375 506.25), (18.75 515.625)
(0 515.625), (9.375 525)
(18.75 506.25), (37.5 525)
(9.375 525), (18.75 534.375)
(18.75 525), (37.5 543.75)
