(450 581.25), (459.375 590.625)
(431.25 562.5), (450 581.25)
(440.625 581.25), (450 590.625)
(450 562.5), (468.75 581.25)
(459.375 581.25), (468.75 590.625)
(450 590.625), (459.375 600)
(459.375 590.625), (468.75 600)
