(553.125 581.25), (562.5 590.625)
(543.75 562.5), (562.5 581.25)
(543.75 581.25), (553.125 590.625)
(553.125 590.625), (562.5 600)
(562.5 581.25), (571.875 590.625)
(562.5 590.625), (571.875 600)
