(562.5 187.5), (581.25 206.25)
(525 150), (562.5 187.5)
(562.5 168.75), (581.25 187.5)
(525 187.5), (562.5 225)
(581.25 187.5), (590.625 196.875)
(581.25 196.875), (590.625 206.25)
(562.5 206.25), (581.25 225)
(581.25 206.25), (590.625 215.625)
