(168.75 525), (187.5 543.75)
(159.375 515.625), (168.75 525)
(168.75 506.25), (187.5 525)
(159.375 525), (168.75 534.375)
(159.375 534.375), (168.75 543.75)
(168.75 543.75), (187.5 562.5)
(187.5 525), (225 562.5)
