(365.625 571.875), (375 581.25)
(356.25 562.5), (365.625 571.875)
(365.625 562.5), (375 571.875)
(356.25 571.875), (365.625 581.25)
(365.625 581.25), (375 590.625)
(375 562.5), (393.75 581.25)
(375 581.25), (384.375 590.625)
