(168.75 450), (187.5 468.75)
(159.375 440.625), (168.75 450)
(168.75 431.25), (187.5 450)
(159.375 450), (168.75 459.375)
(159.375 459.375), (168.75 468.75)
(168.75 468.75), (187.5 487.5)
(187.5 450), (225 487.5)
