(9.375 93.75), (18.75 103.125)
(0 84.375), (9.375 93.75)
(9.375 84.375), (18.75 93.75)
(0 93.75), (9.375 103.125)
(9.375 103.125), (18.75 112.5)
(18.75 93.75), (37.5 112.5)
