(375 271.875), (384.375 281.25)
(337.5 262.5), (375 300)
(375 262.5), (384.375 271.875)
(384.375 271.875), (393.75 281.25)
(375 281.25), (384.375 290.625)
(384.375 281.25), (393.75 290.625)
