(468.75 431.25), (487.5 450)
(459.375 421.875), (468.75 431.25)
(468.75 421.875), (478.125 431.25)
(459.375 431.25), (468.75 440.625)
(459.375 440.625), (468.75 450)
(487.5 431.25), (506.25 450)
(478.125 450), (487.5 459.375)
(487.5 450), (496.875 459.375)
