(356.25 243.75), (375 262.5)
(346.875 234.375), (356.25 243.75)
(356.25 234.375), (365.625 243.75)
(337.5 243.75), (356.25 262.5)
(337.5 262.5), (375 300)
(375 243.75), (393.75 262.5)
(375 262.5), (384.375 271.875)
