(262.5 300), (271.875 309.375)
(225 262.5), (262.5 300)
(262.5 262.5), (300 300)
(225 300), (262.5 337.5)
(271.875 300), (281.25 309.375)
(262.5 309.375), (271.875 318.75)
(271.875 309.375), (281.25 318.75)
