(384.375 18.75), (393.75 28.125)
(375 9.375), (384.375 18.75)
(384.375 9.375), (393.75 18.75)
(375 18.75), (384.375 28.125)
(384.375 28.125), (393.75 37.5)
(393.75 18.75), (403.125 28.125)
(393.75 28.125), (403.125 37.5)
