(281.25 318.75), (300 337.5)
(271.875 309.375), (281.25 318.75)
(281.25 309.375), (290.625 318.75)
(262.5 318.75), (281.25 337.5)
(262.5 337.5), (300 375)
(300 318.75), (318.75 337.5)
(300 337.5), (337.5 375)
