(581.25 375), (590.625 384.375)
(562.5 356.25), (581.25 375)
(581.25 365.625), (590.625 375)
(562.5 375), (581.25 393.75)
(590.625 375), (600 384.375)
(581.25 384.375), (590.625 393.75)
(590.625 384.375), (600 393.75)
