(37.5 412.5), (75 450)
(18.75 393.75), (37.5 412.5)
(37.5 375), (75 412.5)
(18.75 412.5), (37.5 431.25)
(18.75 431.25), (37.5 450)
(75 412.5), (112.5 450)
(37.5 450), (75 487.5)
(75 450), (112.5 487.5)
