(384.375 150), (393.75 159.375)
(375 140.625), (384.375 150)
(384.375 140.625), (393.75 150)
(375 150), (384.375 159.375)
(384.375 159.375), (393.75 168.75)
(393.75 150), (403.125 159.375)
(393.75 159.375), (403.125 168.75)
