(525 18.75), (543.75 37.5)
(515.625 9.375), (525 18.75)
(506.25 18.75), (525 37.5)
(525 9.375), (534.375 18.75)
(543.75 18.75), (562.5 37.5)
(525 37.5), (562.5 75)
