(140.625 140.625), (150 150)
(131.25 131.25), (140.625 140.625)
(140.625 131.25), (150 140.625)
(131.25 140.625), (140.625 150)
(150 140.625), (159.375 150)
(75 150), (150 225)
(150 150), (225 225)
