(581.25 253.125), (590.625 262.5)
(562.5 243.75), (581.25 262.5)
(581.25 243.75), (590.625 253.125)
(590.625 253.125), (600 262.5)
(581.25 262.5), (590.625 271.875)
(590.625 262.5), (600 271.875)
