(112.5 356.25), (131.25 375)
(75 337.5), (112.5 375)
(112.5 337.5), (131.25 356.25)
(131.25 356.25), (140.625 365.625)
(131.25 365.625), (140.625 375)
(112.5 375), (131.25 393.75)
(131.25 375), (140.625 384.375)
