(525 468.75), (543.75 487.5)
(515.625 459.375), (525 468.75)
(506.25 468.75), (525 487.5)
(525 459.375), (534.375 468.75)
(543.75 468.75), (562.5 487.5)
(525 487.5), (562.5 525)
