(525 9.375), (534.375 18.75)
(515.625 0), (525 9.375)
(515.625 9.375), (525 18.75)
(525 0), (534.375 9.375)
(534.375 9.375), (543.75 18.75)
(525 18.75), (543.75 37.5)
