(243.75 562.5), (262.5 581.25)
(225 525), (262.5 562.5)
(225 562.5), (243.75 581.25)
(253.125 581.25), (262.5 590.625)
(262.5 562.5), (281.25 581.25)
(262.5 581.25), (271.875 590.625)
