(375 562.5), (393.75 581.25)
(365.625 553.125), (375 562.5)
(365.625 562.5), (375 571.875)
(365.625 571.875), (375 581.25)
(375 525), (412.5 562.5)
(393.75 562.5), (412.5 581.25)
(384.375 581.25), (393.75 590.625)
(393.75 581.25), (403.125 590.625)
