(300 75), (375 150)
(262.5 37.5), (300 75)
(262.5 75), (300 112.5)
(262.5 112.5), (300 150)
(300 37.5), (337.5 75)
(375 75), (384.375 84.375)
(375 84.375), (384.375 93.75)
(375 93.75), (384.375 103.125)
(375 103.125), (384.375 112.5)
(375 112.5), (384.375 121.875)
(375 121.875), (384.375 131.25)
(375 131.25), (384.375 140.625)
(375 140.625), (384.375 150)
(300 150), (375 225)
(375 150), (384.375 159.375)
